"txid","ordertxid","pair","aclass","subclass","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers","posttxid","posstatuscode","cprice","ccost","cfee","cvol","cmargin","net","trades"
"TO5CGJ-6ZMLV-VIQNGH","O55SLE-JOV5U-6ZAYFR","DOGE/AUD","forex","crypto","2026-04-13 10:00:28.4209","buy","market",0.129401700,4.997072850,0.039976583,38.61674808,0.000000000,"initiated","LQIKTK-MVK3K-DY3SGK,LNCZQD-WU4WL-AYNTGW","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TZ3O4U-6VDQ2-25QAJR","ONGSCA-6PYQC-NCZTI2","DOGE/AUD","forex","crypto","2026-04-13 17:03:53.1607","buy","market",0.130087700,4.999450432,0.039995603,38.43138461,0.000000000,"initiated","LIAN35-ZBM23-DHXX4Y,LDISOU-HB25A-TFGM7E","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TSXHZK-JF6MF-WWAEGH","OMWHQ2-S6QZZ-4YZUXW","DOGE/AUD","forex","crypto","2026-04-14 05:04:46.4046","sell","market",0.131319200,10.117899146,0.080943193,77.04813269,0.000000000,"initiated","LG7GZT-PE4IS-SJLCUC,L23DBT-USFWB-CVBWPV","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"T5RYYP-3QJMI-JMS7GO","OEPSZU-DC7TF-22C6BS","BTC/AUD","forex","crypto","2026-04-14 12:03:10.4002","sell","market",104399.89957,469.85488,3.75884,0.00450053,0.00000,"initiated","LB7IUW-V52AJ-EJLV5J,LVHJNK-G6WPT-SOM2NS","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TZJKNI-MM5NZ-6NHU2Q","OSJERV-S275B-LNYKMB","SOL/AUD","forex","crypto","2026-04-14 14:04:43.6182","buy","market",121.94000,4.98610,0.03989,0.04088976,0.00000,"initiated","LT4G55-PHZQC-MLWIHZ,LYIH3J-PGXDD-7VH5EN","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TDEMUH-P4ORT-KQZR3A","OEFOGP-N3KWJ-ETSMTA","SOL/AUD","forex","crypto","2026-04-14 15:02:39.8914","sell","market",120.42000,4.92394,0.03939,0.04088976,0.00000,"initiated","LPS4HA-B6OB4-NIZL2J,LB47LM-HTVEX-5QVJZ7","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TM7MA6-KQKHX-QUHZHH","O2DDZP-ETQPR-JOXO6O","SOL/AUD","forex","crypto","2026-04-16 02:02:34.5696","buy","limit",118.49000,50.02956,0.20012,0.42222598,0.00000,"","LQOCY6-VW2VK-COPCT5,LHVKL6-FEMQZ-QQFR7F","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TDNL4P-I3ITJ-V25RAI","OVUMHX-QHKHW-CJQMTP","XRP/AUD","forex","crypto","2026-04-16 10:04:57.0171","buy","limit",1.97434000,49.97113770,0.19988455,25.31030000,0.00000000,"","LOEUNS-OTU2A-AHOMEX,LRFHDX-F7CLV-G4NSOS","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TT5MEZ-KU557-ULNEKR","OVUMHX-QHKHW-CJQMTP","XRP/AUD","forex","crypto","2026-04-16 10:05:08.158","buy","limit",1.97434000,0.00000855,0.00000003,0.00000433,0.00000000,"","LG5WGI-NOCUP-VJHEJ5","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TI7OFB-SB26U-622Z43","OTZNYG-BT55X-P4AZNR","DOGE/AUD","forex","crypto","2026-04-16 14:18:08.8843","buy","limit",0.132309000,33.077250000,0.132309000,250.00000000,0.000000000,"","LI5DHN-ZFYKT-XHSKXY,L6KSLO-IUQ7V-G25J22","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
